102	4515	29
30334	1741	8
101	1007	25
2209	3775	23
2	9958	29
101	4707	17
8820	759	1
1048	8605	12
113	6819	3
143	8675	11
128	9805	27
101	1795	7
46563	5793	24
2	2368	21
101	296	25
57894	2647	26
7415	4712	1
20495	4873	24
595	5960	14
4032	438	17
15738	3247	14
1228	4607	9
4743	4862	8
4017	3738	2
176	7991	9
355	8755	10
3328	2156	2
101	2736	39
3050	4472	6
23010	7971	6
7795	3940	15
3860	3877	23
21293	8766	0
58	8887	27
794	8730	26
9	6920	5
34578	9205	4
1014	4557	3
39	6248	8
30320	5857	1
1780	889	18
1552	4730	6
103	7811	5
4679	4484	4
7287	2474	7
44135	4547	32
2237	3098	9
14	6136	32
9357	1516	7
109	4089	15
745	4900	0
56720	9203	20
14	5953	27
18756	8801	4
102	4965	9
189	4985	27
22478	4597	26
294	6273	10
2776	7743	11
2601	7462	7
1094	7894	10
2982	2181	26
1309	8378	21
628	7186	12
5641	8130	18
106	3474	5
101	7858	47
30545	3230	41
103	9633	19
110	8272	20
14	8686	20
4137	8621	28
361	8264	6
187	3446	18
42032	4707	4
116	3808	2
6391	430	3
8	1815	21
46491	7622	13
159	6514	2
115	8596	36
935	348	7
17638	583	19
103	1193	10
14632	1787	26
57950	4893	12
50639	3265	19
614	8543	13
648	4557	2
14	1034	19
348	8130	7
1787	552	29
8225	3960	28
3599	7502	14
1122	1287	32
19952	9340	4
19809	9055	15
2234	6633	15
3457	3786	12
534	1844	3
3813	3223	31
21484	2912	12
775	9711	10
4430	7935	8
35591	3181	7
3907	910	26
103	6432	9
124	9982	7
2080	3918	8
55688	1824	38
378	9995	22
106	3399	36
164	3847	14
1336	6230	11
14911	5193	11
115	8226	15
14	2987	18
1128	8394	23
13648	7040	8
4661	5064	14
129	2404	13
154	6813	14
4605	2118	11
360	2509	12
17331	3986	2
4014	1872	0
2937	1054	1
22485	1050	7
4192	9423	1
21744	5114	1
16312	8689	10
34811	3795	10
14	5302	38
1359	1871	28
4243	9645	0
396	7467	12
35461	4597	31
8358	5669	10
12777	2523	23
22893	7382	10
1076	7599	9
112	9466	12
101	2786	4
1027	4603	17
109	9660	9
2	4870	0
1939	7220	8
236	7017	10
11188	7067	1
115	7047	27
141	6619	35
2090	8660	2
393	9935	17
1150	9278	16
112	3568	24
44625	4367	6
4958	3503	21
2	4422	2
101	1448	29
186	117	1
107	7989	25
104	3626	1
102	3244	8
57475	3037	26
129	3465	7
7	1470	9
2015	2130	12
231	4183	26
50664	4822	0
3355	4166	14
10761	7130	23
105	261	10
1859	4303	3
14	5611	21
141	7067	33
282	4631	7
52891	9264	15
24220	9313	14
195	7309	1
21960	6448	1
14	3163	41
104	7170	3
17832	4488	28
1632	8477	4
12920	3483	8
111	1872	7
224	2187	8
47583	1113	21
1183	6315	4
13770	8900	20
50700	7125	25
103	9966	1
2042	6595	29
129	3629	13
533	764	5
216	6406	1
106	245	16
14	8105	26
38754	6226	5
118	3653	0
3310	7021	7
1527	7173	21
145	1921	6
2965	7244	5
4958	6020	14
449	1933	25
113	2306	7
753	9950	8
101	8067	6
1479	5658	11
118	6726	28
102	8943	28
992	5883	7
277	1431	13
119	5690	11
151	9819	6
105	3784	17
2478	468	29
14	5932	21
3104	8887	14
10525	9484	18
792	6372	38
1798	7890	37
3641	642	16
32761	4460	6
202	7416	21
4141	4120	19
1029	9562	6
1510	8072	27
260	5399	14
219	9166	13
109	925	11
525	6187	6
101	3405	9
155	881	3
145	781	3
8932	998	36
589	5170	28
103	9870	26
250	2695	21
4579	2397	3
636	1964	21
12489	7749	20
1281	7580	20
26875	5620	15
19163	4096	9
544	7181	7
24492	4138	20
111	4915	0
169	4618	29
210	6254	5
7345	4605	9
3922	543	15
680	6135	27
7322	8933	4
91	605	6
2301	7342	8
352	3808	3
14	7560	23
102	8847	7
149	9049	10
47881	8966	5
36144	7823	2
142	1830	2
119	7326	9
18880	5077	32
1455	5345	0
420	9828	1
34009	2846	7
118	2639	19
2785	8865	13
6790	2954	12
1387	8101	8
437	7598	20
12640	3490	2
146	8041	0
4723	9461	24
9998	9900	9
23347	4604	3
8009	3494	16
2629	6790	26
134	9791	9
8470	1456	36
1647	5946	19
388	6804	7
12050	7254	8
32555	9266	5
16	7206	17
822	3249	7
150	3026	4
1824	2094	14
28284	3038	18
2	2381	0
9387	7192	16
57	1159	8
1593	4696	16
135	9911	24
463	6143	5
55745	8119	15
135	247	21
2251	7748	13
102	9956	27
30589	9981	6
394	6474	10
435	1546	18
741	2481	17
3320	4247	25
318	6008	6
181	50	46
9	8230	18
1087	5357	16
1207	701	0
134	697	16
1168	376	19
13106	8572	10
166	9003	13
2017	3660	37
293	1952	1
123	6801	12
102	1453	20
57058	2189	1
1172	8457	34
145	4665	36
2022	7462	1
8734	2576	14
31411	1834	20
109	6047	3
1212	9868	37
50391	7729	26
449	6665	15
3126	524	1
10008	2009	4
6107	8709	14
703	4062	36
229	5460	2
14541	3761	21
3222	4495	21
162	9757	21
4167	7145	10
11695	6413	22
1550	4350	9
132	9309	11
2	65	9
817	79	17
2299	6360	14
104	3745	2
14650	5838	32
1030	5294	9
2507	5951	32
10391	4178	12
5706	5827	38
7172	6951	29
234	8334	5
27451	5216	5
610	1727	8
121	9851	3
3597	2211	0
14	4782	20
11570	8873	35
114	1989	5
1001	6315	1
196	4967	19
629	8188	1
11551	1448	16
22266	779	2
104	6056	5
101	9964	7
1895	6741	37
223	5616	35
5473	5772	10
107	3375	35
119	8222	7
113	3548	33
1968	491	30
26682	3867	23
121	7157	9
106	2746	10
108	1114	1
102	3396	1
54078	4918	32
7982	2336	12
30825	5454	22
106	1968	17
1468	9523	17
4867	8690	20
1072	390	2
2547	7945	18
634	6921	18
3724	3622	19
101	9678	27
8	2108	3
101	910	22
1040	7232	36
274	4304	18
283	3420	13
104	6528	2
3804	2699	14
2547	7341	24
293	8588	22
32495	2613	4
103	8392	10
2	5316	3
39417	1236	5
2390	9022	30
8085	7103	4
166	8866	11
